ID,Age,Gender,City,Profession,Marital status
1,29,Female,LA,ML_Engineer,Married
2,32,Female,Colorado,ML_Engineer,Married
3,55,Male,Colorado,MBA,Married
4,53,Male,Colorado,ML_Engineer,Unmarried
5,45,Male,LA,ML_Engineer,Married
6,53,Female,LA,MBA,Unmarried
7,62,Male,New york,Doctor,Married
8,25,Female,Florida,MBA,Unmarried
9,56,Female,New york,AI_Engineer,Married
10,34,Female,New york,MBA,Unmarried
11,54,Female,LA,ML_Engineer,Unmarried
12,19,Female,Colorado,Doctor,Unmarried
13,54,Female,Colorado,Doctor,Unmarried
14,24,Female,LA,MBA,Married
15,40,Male,Colorado,Doctor,Unmarried
16,44,Female,New york,ML_Engineer,Unmarried
17,45,Male,Colorado,Doctor,Unmarried
18,62,Male,LA,ML_Engineer,Married
19,55,Female,Florida,MBA,Unmarried
20,62,Male,New york,Doctor,Unmarried
21,53,Male,LA,AI_Engineer,Married
22,55,Female,LA,MBA,Unmarried
23,47,Male,Colorado,AI_Engineer,Married
24,61,Female,LA,AI_Engineer,Married
25,48,Male,New york,ML_Engineer,Unmarried
26,34,Male,Florida,ML_Engineer,Unmarried
27,63,Female,Florida,AI_Engineer,Married
28,28,Female,Colorado,AI_Engineer,Married
29,54,Female,Colorado,ML_Engineer,Unmarried
30,39,Male,Colorado,AI_Engineer,Unmarried
31,53,Female,Colorado,AI_Engineer,Married
32,57,Female,LA,ML_Engineer,Unmarried
33,63,Male,LA,ML_Engineer,Married
34,36,Male,Florida,MBA,Married
35,60,Female,LA,AI_Engineer,Married
36,22,Male,Florida,Doctor,Married
37,24,Male,Colorado,AI_Engineer,Married
38,49,Female,Colorado,Doctor,Married
39,65,Female,Colorado,ML_Engineer,Unmarried
40,57,Male,LA,MBA,Unmarried
41,43,Female,Florida,ML_Engineer,Unmarried
42,20,Male,Colorado,AI_Engineer,Unmarried
43,60,Male,New york,ML_Engineer,Unmarried
44,54,Male,LA,AI_Engineer,Unmarried
45,51,Male,Florida,ML_Engineer,Married
46,64,Female,Florida,ML_Engineer,Unmarried
47,41,Male,Colorado,ML_Engineer,Married
48,31,Male,Colorado,ML_Engineer,Unmarried
49,25,Male,LA,MBA,Unmarried
50,27,Female,Florida,ML_Engineer,Unmarried
51,63,Female,LA,ML_Engineer,Married
52,55,Female,Colorado,ML_Engineer,Unmarried
53,62,Male,New york,ML_Engineer,Unmarried
54,64,Male,New york,MBA,Married
55,22,Female,Florida,ML_Engineer,Married
56,18,Female,New york,ML_Engineer,Married
57,46,Female,Florida,MBA,Unmarried
58,36,Female,Florida,Doctor,Married
59,38,Female,Colorado,AI_Engineer,Married
60,57,Male,Florida,MBA,Unmarried
61,24,Female,Colorado,Doctor,Unmarried
62,32,Male,LA,Doctor,Married
63,19,Female,LA,AI_Engineer,Unmarried
64,60,Male,Florida,AI_Engineer,Married
65,18,Female,LA,MBA,Married
66,18,Female,Florida,MBA,Married
67,39,Male,New york,Doctor,Married
68,28,Female,LA,ML_Engineer,Unmarried
69,24,Male,LA,ML_Engineer,Married
70,39,Female,New york,Doctor,Married
71,31,Male,New york,MBA,Unmarried
72,36,Female,LA,Doctor,Married
73,34,Male,Florida,Doctor,Unmarried
74,55,Male,LA,MBA,Unmarried
75,61,Female,Florida,Doctor,Married
76,48,Female,Florida,Doctor,Unmarried
77,61,Female,New york,AI_Engineer,Unmarried
78,28,Male,Colorado,ML_Engineer,Unmarried
79,42,Female,Florida,ML_Engineer,Married
80,28,Female,Florida,MBA,Unmarried
81,31,Male,Colorado,MBA,Married
82,54,Male,Colorado,AI_Engineer,Unmarried
83,27,Female,New york,ML_Engineer,Married
84,47,Female,Colorado,ML_Engineer,Unmarried
85,64,Male,Florida,ML_Engineer,Married
86,55,Male,Florida,MBA,Unmarried
87,55,Female,Florida,Doctor,Unmarried
88,49,Female,LA,MBA,Married
89,57,Female,New york,MBA,Married
90,60,Female,New york,AI_Engineer,Married
91,57,Female,LA,ML_Engineer,Married
92,30,Female,New york,ML_Engineer,Married
93,27,Male,Florida,MBA,Unmarried
94,51,Female,LA,Doctor,Unmarried
95,50,Male,Florida,ML_Engineer,Unmarried
96,35,Male,LA,ML_Engineer,Unmarried
97,32,Female,LA,Doctor,Married
98,27,Female,Florida,MBA,Married
99,24,Male,Colorado,ML_Engineer,Married
100,22,Male,LA,Doctor,Married
101,24,Male,LA,AI_Engineer,Unmarried
102,18,Male,LA,MBA,Unmarried
103,45,Male,New york,AI_Engineer,Married
104,50,Female,New york,MBA,Unmarried
105,19,Male,Florida,Doctor,Married
106,25,Male,Colorado,Doctor,Married
107,33,Male,Colorado,ML_Engineer,Married
108,54,Male,LA,ML_Engineer,Married
109,22,Male,New york,MBA,Unmarried
110,32,Male,New york,MBA,Unmarried
111,38,Male,New york,Doctor,Unmarried
112,58,Female,New york,ML_Engineer,Married
113,51,Female,LA,ML_Engineer,Unmarried
114,64,Female,New york,MBA,Married
115,24,Female,Florida,ML_Engineer,Unmarried
116,65,Female,Colorado,MBA,Married
117,59,Male,Colorado,ML_Engineer,Married
118,44,Male,Florida,ML_Engineer,Married
119,26,Male,New york,ML_Engineer,Married
120,41,Male,New york,Doctor,Unmarried
121,48,Female,New york,MBA,Married
122,41,Male,LA,MBA,Unmarried
123,23,Female,Florida,Doctor,Married
124,58,Female,Florida,Doctor,Unmarried
125,28,Male,Florida,Doctor,Married
126,54,Male,LA,ML_Engineer,Unmarried
127,32,Male,Florida,Doctor,Unmarried
128,34,Female,New york,Doctor,Unmarried
129,51,Male,Florida,AI_Engineer,Unmarried
130,47,Male,Florida,ML_Engineer,Unmarried
131,49,Male,LA,AI_Engineer,Married
132,42,Male,New york,ML_Engineer,Unmarried
133,56,Male,New york,Doctor,Unmarried
134,26,Male,Colorado,MBA,Unmarried
135,36,Female,LA,MBA,Married
136,24,Female,Florida,MBA,Married
137,29,Female,LA,MBA,Unmarried
138,39,Female,Colorado,AI_Engineer,Married
139,20,Male,Florida,ML_Engineer,Married
140,59,Female,LA,Doctor,Married
141,25,Female,LA,ML_Engineer,Married
142,48,Female,Florida,AI_Engineer,Married
143,45,Male,Florida,Doctor,Married
144,47,Female,New york,AI_Engineer,Married
145,52,Male,New york,MBA,Unmarried
146,31,Female,Colorado,Doctor,Unmarried
147,50,Female,New york,Doctor,Unmarried
148,59,Female,Colorado,MBA,Married
149,21,Male,Florida,Doctor,Married
150,57,Male,Florida,ML_Engineer,Unmarried
151,18,Female,Colorado,MBA,Married
152,65,Male,Colorado,ML_Engineer,Unmarried
153,23,Female,LA,Doctor,Married
154,18,Female,New york,MBA,Married
155,28,Male,New york,ML_Engineer,Unmarried
156,51,Male,Florida,AI_Engineer,Unmarried
157,48,Female,New york,AI_Engineer,Married
158,37,Female,LA,MBA,Married
159,60,Female,New york,AI_Engineer,Unmarried
160,27,Female,Florida,AI_Engineer,Married
161,30,Male,LA,AI_Engineer,Unmarried
162,37,Male,Colorado,MBA,Unmarried
163,48,Male,Colorado,ML_Engineer,Married
164,60,Female,New york,MBA,Unmarried
165,31,Male,Colorado,MBA,Unmarried
166,26,Male,Colorado,MBA,Unmarried
167,64,Female,Colorado,ML_Engineer,Unmarried
168,48,Male,Colorado,AI_Engineer,Unmarried
169,36,Male,New york,Doctor,Unmarried
170,18,Female,LA,Doctor,Married
171,28,Female,Florida,MBA,Unmarried
172,42,Female,Colorado,ML_Engineer,Married
173,22,Female,Florida,ML_Engineer,Married
174,39,Male,LA,ML_Engineer,Married
175,58,Male,New york,Doctor,Unmarried
176,41,Male,Florida,MBA,Unmarried
177,42,Female,Florida,ML_Engineer,Unmarried
178,63,Female,LA,AI_Engineer,Married
179,54,Male,LA,AI_Engineer,Married
180,35,Female,LA,AI_Engineer,Unmarried
181,61,Female,LA,ML_Engineer,Married
182,60,Female,Florida,AI_Engineer,Married
183,55,Female,LA,AI_Engineer,Married
184,52,Female,Florida,ML_Engineer,Unmarried
185,40,Male,Florida,AI_Engineer,Unmarried
186,38,Female,Florida,ML_Engineer,Married
187,46,Female,New york,ML_Engineer,Unmarried
