ID,Age,Gender,City,Profession,Marital status
1,35.0,,Florida,MBA,Unmarried
2,36.0,Male,Florida,Doctor,Married
3,18.0,,LA,Doctor,Unmarried
4,62.0,Female,LA,AI_Engineer,Married
5,56.0,Female,LA,AI_Engineer,Unmarried
6,25.0,Female,Colorado,ML_Engineer,Unmarried
7,32.0,Female,Florida,MBA,
8,49.0,Male,New york,MBA,Married
9,29.0,Female,Colorado,AI_Engineer,Unmarried
10,42.0,Male,Florida,Doctor,Unmarried
11,,Female,Colorado,Doctor,Unmarried
12,59.0,Male,LA,Doctor,Unmarried
13,27.0,Female,New york,Doctor,Unmarried
14,45.0,Female,Florida,AI_Engineer,
15,32.0,Male,New york,Doctor,Married
16,39.0,Male,Florida,ML_Engineer,Married
17,47.0,Female,LA,MBA,Married
18,35.0,Male,New york,Doctor,Married
19,39.0,Female,LA,AI_Engineer,Married
20,24.0,Male,Florida,AI_Engineer,Unmarried
21,47.0,Female,Florida,ML_Engineer,Unmarried
22,49.0,Male,LA,ML_Engineer,Married
23,35.0,Male,Florida,Doctor,Married
24,64.0,Female,LA,MBA,Unmarried
25,63.0,Male,New york,ML_Engineer,Married
26,34.0,Male,LA,Doctor,Unmarried
27,34.0,Male,Colorado,ML_Engineer,Married
28,62.0,Female,Colorado,MBA,
29,,Male,New york,Doctor,Married
30,60.0,Female,New york,AI_Engineer,Married
31,46.0,Female,Colorado,ML_Engineer,
32,36.0,Male,Colorado,MBA,Unmarried
33,39.0,Male,New york,Doctor,Unmarried
34,35.0,Female,LA,Doctor,Married
35,38.0,Female,Florida,ML_Engineer,Married
36,27.0,Female,Florida,MBA,Married
37,43.0,Female,New york,MBA,Married
38,50.0,Male,New york,AI_Engineer,Married
39,43.0,Male,Florida,ML_Engineer,Unmarried
40,19.0,Female,LA,Doctor,Unmarried
41,46.0,Female,LA,AI_Engineer,Married
42,43.0,Male,LA,Doctor,Unmarried
43,21.0,Female,Florida,MBA,Unmarried
44,64.0,Male,LA,AI_Engineer,Married
45,33.0,Female,Florida,Doctor,Married
46,38.0,,New york,MBA,Unmarried
47,31.0,Male,Florida,Doctor,Unmarried
48,22.0,Male,Colorado,MBA,Unmarried
49,41.0,,New york,Doctor,Unmarried
50,42.0,Female,,,Married
51,22.0,Female,New york,ML_Engineer,Unmarried
